Food Name,Measure,Weight (g),Energy (kcal),Energy (kJ),Protein (g),Carbohydrate (g),Total Sugar (g),Total Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Calcium (mg),Iron (mg),Sodium (mg),Potassium (mg),Magnesium (mg),Phosphorus (mg),Vitamin A (RAE),Folate (DFE),Vitamin C (mg),Vitamin B12 (mcg)
Smelt breaded and fried,5,80,201,840,17,10,10,2.5,2.7,N/A,N/A,79,31,1,N/A,332,246,20,N/A,N/A,N/A
Snapper mixed species baked or broiled,75 g,75,96,401,20,0,1,0.3,0.4,0.2,0.04,35,30,0.2,43,392,151,26,2.2,2.63,0.5
Sole (flatfish) baked or broiled,75 g,75,88,367,18,0,1,0.3,0.5,0.19,0.18,51,14,0.3,79,258,217,10,1.1,1.88,0.5
Trout rainbow farmed baked or broiled,75 g,75,127,530,18,0,5,1.6,1.7,0.62,0.25,51,65,0.2,32,331,200,65,4.8,3.73,0
Tuna light canned in water drained salted,75 g,75,87,364,19,0,1,0.2,0.3,0.17,0.04,23,8,1.1,254,178,122,13,0.9,2.24,0.3
Tuna light canned with oil drained salted,75 g,75,149,621,22,0,6,1.2,2.2,0.08,0.02,14,10,1,266,155,233,17,0.7,1.65,0.7
Turbot baked or broiled,75 g,75,92,383,15,0,3,N/A,N/A,N/A,N/A,47,17,0.3,144,229,124,9,N/A,1.91,N/A
Whitefish lake native baked,75 g,75,100,417,17,0,3,0.9,2.1,0.9,0.3,58,12,0.3,33,294,168,8,11.3,0.72,N/A
Clams mixed species boiled or steamed,5 large,60,89,371,15,3,1,0.1,0.3,0.09,0.08,40,55,16.8,67,377,203,103,0.1,59.33,0.4
Clams mixed species canned drained solids,125 mL,85,125,523,22,4,2,0.2,0.5,0.12,0.12,57,78,23.6,95,531,286,153,0.1,83.59,0.5
Crab canned drained,125 mL,71,71,295,15,0,1,0.2,0.3,0.12,0.14,63,72,0.6,238,267,185,1,N/A,0.33,1.3
Crab snow boiled or steamed,125 mL,62,72,300,15,0,1,0.1,0.3,0.09,0.21,44,21,1.8,431,125,80,32,N/A,6.47,N/A
Crayfish mixed species farmed boiled or steamed,4 medium,60,52,218,11,0,1,0.1,0.2,0.02,0.07,82,31,0.7,58,143,145,9,N/A,1.86,N/A
Lobster boiled or steamed,125 mL,77,75,314,16,1,tr,0.1,0.1,0.02,0.04,55,47,0.3,291,270,142,20,N/A,2.38,0.8
Mussels boiled or steamed,15 small,75,129,539,18,6,3,0.6,0.9,0.38,0.21,42,25,5,277,201,214,68,0.2,18,0.8
Oysters boiled or steamed,6 medium,42,58,241,6,3,2,0.6,0.8,0.25,0.23,44,38,5,177,118,85,23,3.4,14.71,0.7
Oysters canned solids and liquid,125 mL,131,90,379,9,5,3,0.8,1,0.3,0.28,72,59,8.8,147,300,182,118,N/A,25.06,1.1
Oysters raw,6 medium,84,50,207,4,5,1,0.4,0.5,0.17,0.16,21,37,4.9,150,104,78,7,N/A,13.61,0.5
Scallops cooked steamed,6 medium,78,87,365,18,0,1,0.1,0.4,0.16,0.13,41,90,2.3,207,371,264,23,0,1.01,1.2
Shrimp boiled or steamed,6 medium,30,30,124,6,0,tr,0.1,0.1,0.04,0.05,59,12,0.9,67,55,41,20,N/A,0.45,0.4
Calamari breaded and fried,125 mL,79,156,651,14,9,7,1.7,1.6,0.27,0.11,197,45,1,303,216,194,17,0.1,1.02,1
Caviar black or red,15 mL,16,41,171,4,1,3,0.7,1.2,0.62,0.44,95,45,1.9,243,29,58,91,0.5,3.25,1.1
Crab cake,1,60,93,389,12,tr,5,0.9,1.4,0.13,0.14,90,63,0.6,198,194,128,34,N/A,3.56,N/A
Crab imitation made from surimi,125 mL,67,68,284,8,7,1,0.2,0.4,0.24,0.16,13,9,0.3,560,60,188,13,1.2,1.07,0.1
Fish cake,1,120,240,1004,16,15,12,3.3,2.6,0.1,tr,63,30,0.8,290,526,201,28,1.5,0.73,0.7
Fish fillet battered and fried,1,134,265,1108,22,9,15,3.6,3.4,0.14,0.08,71,42,1,133,508,266,23,0.8,1.02,1
Fish sticks frozen heated (10 cm x 2.5 cm x 1.3 cm),3 sticks,83,227,948,13,20,10,2.6,2.6,0.11,0.07,93,17,0.6,485,217,151,26,0.1,1.5,0.4
Shrimp breaded and fried,6 medium,66,160,668,14,8,8,1.4,3.4,0.08,0.07,117,44,0.8,227,149,144,N/A,N/A,1.23,N/A
Tuna salad,125 mL,108,203,847,17,10,10,1.7,4.5,0.06,0.02,14,18,1.1,435,193,193,26,3.6,1.3,N/A
#Beef
Blade roast lean + fat braised,75 g,75,200,834,26,0,10,4,5,0.4,71,2.5,46,202,18,142,0,0.5,2.38,4,0.1
Blade steak lean + fat braised,75 g,75,227,947,23,0,14,5.7,7.1,0.5,71,2.4,49,178,17,138,0,0.5,2,4,0.2
Composite roast lean + fat cooked,75 g,75,181,756,24,0,8,3.5,4.2,0.4,61,2.3,40,230,19,155,0,0.5,1.89,4,0.1
Composite steak lean + fat cooked,75 g,75,196,819,25,0,9,3.9,4.9,0.4,64,2.4,40,200,18,148,0,0.5,1.78,4,0.1
Cross rib roast lean + fat braised,75 g,75,197,825,27,0,9,3.6,4.5,0.5,70,2.6,52,242,21,164,0,0.5,1.89,5,0.6
Eye of round roast lean + fat roasted,75 g,75,148,618,24,0,5,2.1,2.5,0.2,50,1.5,40,243,19,152,0,0.5,1.44,5,0.2
Eye of round steak lean + fat braised,75 g,75,171,715,28,0,5,2.2,2.8,0.3,61,1.8,35,243,19,152,0,0.5,1.38,5,0.2
Flank steak lean + fat braised,75 g,75,184,769,25,0,8,3.6,4.1,0.3,54,2.2,45,243,19,152,0,0.5,2.15,5,0.3
Ground extra lean crumbled pan-fried,75 g,75,167,696,23,0,8,3.2,3.3,0.3,59,2.1,65,311,22,180,0,0.3,2.06,5,N/A
Ground lean crumbled pan-fried,75 g,75,194,809,22,0,11,4.5,5.1,0.3,59,2.1,70,293,21,174,0,0.5,2.16,0,N/A
Ground medium crumbled pan-fried,75 g,75,214,894,22,0,13,5.6,6,0.4,61,2,68,303,21,173,0,0.6,1.88,6,N/A
Ground regular crumbled pan-fried,75 g,75,243,1016,22,0,17,7,7.9,0.4,63,2.2,78,301,21,178,0,0.8,2.72,0,N/A
Inside (top) round roast lean + fat roasted,75 g,75,133,555,24,0,3,1.4,1.6,0.2,53,2.1,48,253,20,163,0,0.5,1.68,5,0.1
Inside (top) round steak lean + fat braised,75 g,75,175,731,30,0,5,2.1,2.6,0.3,68,2.4,38,204,20,157,0,0.5,1.43,5,0.4
Outside (bottom) round roast lean + fat roasted,75 g,75,158,659,25,0,5,2.1,2.8,0.3,58,2.9,42,243,19,152,0,0.5,1.67,5,0.2
Outside (bottom) round steak lean + fat braised,75 g,75,195,815,29,0,8,3,4.2,0.4,72,3.1,43,243,19,152,0,0.5,1.41,5,0.3
Rib eye steak lean + fat broiled,75 g,75,230,963,20,0,16,6.7,8,0.5,53,2.4,40,243,19,152,0,0.5,1.54,5,0.8
Rib steak lean + fat broiled,75 g,75,232,969,23,0,15,6.4,7.3,0.5,58,1.9,56,243,19,152,0,0.5,1.8,5,0.5
Rump roast lean + fat broiled,75 g,75,164,684,21,0,8,3.2,3.6,0.3,59,1.9,47,296,20,180,0,0.3,2.27,7,N/A
Short ribs lean + fat simmered,75 g,75,309,1292,17,0,26,11.2,11.8,1,57,1.4,29,146,10,86,0,1.7,1.97,4,N/A
Sirloin tip roast lean + fat roasted,75g,75,156,653,25,0,5,2.2,2.8,0.3,58,2.7,44,243,19,152,0,0.5,1.85,5,0.1
Standing rib roast lean + fat roasted,75g,75,237,992,21,0,16,6.9,8,0.5,55,1.7,53,243,19,152,0,0.5,1.73,5,0.5
Stewing beef lean simmered,75g,75,183,765,28,0,7,2.9,N/A,N/A,68,2.6,45,214,19,150,0,0.5,1.8,4,0.2
Strip loin ( New York ) steak lean + fat broiled,75g,75,191,797,23,0,10,4.3,5.2,0.4,55,2.1,43,243,19,152,0,0.5,1.72,5,0.3
T-Bone (Porterhouse) steak lean + fat broiled,75g,75,216,903,22,0,13,5.6,6.6,0.4,54,2.1,51,243,19,152,0,0.5,1.89,5,0.1
Tenderloin steak lean + fat broiled,75g,75,170,709,24,0,7,3.2,3.6,0.3,59,2.9,50,243,19,152,0,0.5,2.04,5,0.2
Top sirloin steak lean + fat broiled,75g,75,146,611,21,0,6,2.6,3.1,0.3,52,2,43,257,20,160,0,0.5,2.33,5,0.2
#Veal
Composite cuts lean + fat cooked,75g,75,173,725,23,0,9,3.2,3.3,0.6,86,0.9,65,244,20,179,0,1.1,1.18,11,0.3
Cutlets grain-fed pan-fried,75g,75,136,568,27,0,2,0.7,0.8,0.6,78,1.5,33,266,21,171,0,0.5,2.46,N/A,0.3
Cutlets milk-fed pan-fried,75g,75,142,593,28,0,2,0.6,0.8,1,78,0.5,58,332,16,218,0,0.5,1.27,12,0.3
Ground broiled,75g,75,129,539,18,0,6,2.3,2.1,0.4,77,0.7,62,253,18,163,0,0.8,0.95,8,0.1
Leg lean + fat breaded pan-fried,75g,75,171,715,20,7,7,2.3,2.5,1.1,84,1.2,341,278,23,188,8,0.9,0.93,24,0.4
Leg lean + fat roasted,75g,75,120,502,21,0,3,1.4,1.3,0.3,77,0.7,51,292,21,176,0,0.5,0.88,12,0.4
Loin lean + fat roasted,75g,75,163,680,19,0,9,3.9,3.6,0.6,77,0.7,70,244,19,159,0,1.3,0.93,11,0.3
Shoulder whole lean + fat roasted,75g,75,142,593,23,0,5,2.2,1.8,0.3,65,0.7,56,266,17,140,0,0.7,2.5,N/A,0.4
Stewing meat lean braised,75g,75,141,590,26,0,3,1,1,0.3,109,1.1,70,257,21,179,0,0.7,1.25,12,0.3
#Pork
Back ribs lean + fat roasted,75g,75,274,1145,21,0,20,7.9,8.9,2.6,85,0.9,100,251,18,147,2,0.8,0.83,2,N/A
Centre cut loin chop lean + fat broiled,75g,75,180,753,22,0,10,3.6,4.4,0.7,62,0.6,44,269,19,174,2,0.4,0.55,5,0.1
Centre cut loin chop lean + fat pan-fried,75g,75,208,869,22,0,12,4.5,5.3,1.4,69,0.7,60,319,22,194,2,0.5,0.55,5,0.2
Ground lean pan-fried,75g,75,175,731,19,0,11,4.1,5,1.3,60,0.9,60,278,20,166,2,0.5,0.8,5,0.2
Ground medium pan-fried,75g,75,224,938,18,0,16,6,7.3,2.2,66,0.8,68,275,19,164,2,0.5,0.86,5,0.2
Leg butt end lean + fat roasted,75g,75,189,791,22,0,11,3.9,4.8,1,72,0.8,47,281,20,204,2,0.4,0.54,2,0.2
Loin rib end lean + fat broiled,75g,75,197,825,22,0,12,4.3,5.2,0.9,62,0.6,47,301,20,178,2,0.4,0.55,2,0.3
Loin rib end lean + fat pan-fried,75g,75,199,831,20,0,13,4.8,5.6,1.4,55,0.5,38,323,19,177,2,0.5,0.53,2,0.2
Shoulder butt lean + fat roasted,75g,75,198,828,19,0,13,5,5.9,1.9,67,1.1,50,245,18,153,2,0.6,0.92,4,0.2
Shoulder whole lean + fat roasted,75g,75,219,916,17,0,16,5.9,7.1,1.5,68,1,51,247,14,159,2,0.5,0.6,4,0.1
Spareribs lean + fat braised,75g,75,251,1048,20,0,18,7,7.8,2.5,74,1.1,49,118,14,107,2,0.6,0.68,3,N/A
Tenderloin lean roasted,75g,75,108,452,21,0,2,0.8,0.9,0.4,52,1,44,302,23,184,2,0.1,0.41,5,0.2
#Lamb
American fresh foreshank lean + fat cooked,75g,75,182,762,21,0,10,4.2,4.3,0.7,80,1.6,54,193,17,125,0,0.2,1.71,13,0.1
American fresh ground cooked,75g,75,212,888,19,0,15,6.1,6.2,1.1,73,1.3,61,254,18,151,0,0.6,1.96,14,0.1
American fresh leg whole lean + fat cooked,75g,75,194,809,19,0,12,5.2,5.2,0.9,70,1.5,50,235,18,143,0,0.5,1.94,15,0.1
American fresh loin lean + fat cooked,75g,75,232,969,17,0,18,7.7,7.3,1.4,71,1.6,48,185,17,135,0,0.5,1.66,14,0.1
American fresh rib lean + fat cooked,75g,75,269,1126,16,0,22,9.6,9.4,1.6,73,1.2,55,203,15,125,0,0.5,1.67,11,0.1
American fresh shoulder whole lean+ fat cooked,75g,75,207,866,17,0,15,6.3,6.1,1.2,69,1.5,50,188,17,138,0,0.5,1.98,16,0.1
New Zealand frozen composite lean + fat cooked,75g,75,203,847,19,0,13,6.6,5.2,0.7,80,1.6,35,121,14,158,0,0.5,2.03,1,0.1
New Zealand frozen foreshank lean + fat braised,75g,75,194,809,20,0,12,5.9,4.6,0.5,77,1.6,35,89,11,131,0,0.3,1.83,1,0.1
New Zealand frozen leg whole lean + fat roasted,75g,75,176,734,19,0,10,5.1,4.1,0.5,76,1.6,33,128,15,166,0,0.5,1.96,1,0.1
New Zealand frozen loin lean + fat broiled,75g,75,222,929,18,0,16,7.9,6.2,0.7,85,1.6,38,123,15,160,0,0.5,1.91,1,0.1
#Chicken Poultry and Game Birds
Chicken broiler breast meat and skin roasted,75g,75,142,593,19,0,7,1.8,2.6,1.4,63,0.4,45,241,20,N/A,20,0.2,0.24,3,0.2
Chicken broiler breast meat roasted,75g,75,119,499,25,0,2,0.4,0.5,0.3,64,0.4,56,301,22,N/A,5,0.2,0.26,3,0.2
Chicken broiler drumstick meat and skin roasted,75g,75,161,671,16,0,10,2.8,3.8,2.3,68,1,68,172,17,131,23,0.2,0.24,6,0.2
Chicken broiler drumstick meat roasted,75g,75,127,530,19,0,5,1.4,1.7,1.3,70,1,71,185,18,N/A,14,0.2,0.26,7,0.2
Chicken broiler flesh and skin roasted,75g,75,179,749,20,0,10,2.8,4,2.2,66,0.9,62,167,17,137,35,0.2,0.23,4,0.2
Chicken broiler flesh roasted,75g,75,143,596,22,0,6,1.5,2,1.3,67,0.9,65,182,19,146,12,0.2,0.25,5,0.2
Chicken broiler thigh meat and skin roasted,75g,75,187,781,15,0,14,3.8,5.4,3,70,1,63,167,17,131,36,0.2,0.22,5,0.2
Chicken broiler thigh meat roasted,75g,75,127,530,19,0,5,1.5,2,1.2,71,1,66,179,18,N/A,15,0.1,0.23,6,0.2
Chicken broiler wing meat and skin roasted,75g,75,218,910,20,0,15,4.1,5.7,3.1,63,1,62,138,14,113,35,0.5,0.22,2,0.2
Chicken cornish game hens flesh and skin roasted,75g,75,195,815,17,0,14,3.8,6,2.7,98,0.7,48,184,14,110,24,0.3,0.21,2,0.3
Chicken ground lean cooked,75g,75,153,640,16,0,9,N/A,N/A,N/A,59,1.2,51,212,N/A,N/A,9,0.2,N/A,N/A,N/A
Duck domesticated roasted,75g,75,253,1057,14,0,21,7.3,9.7,2.7,63,2,44,153,12,117,47,4.1,0.23,5,0.5
Duck wild cooked,75g,75,128,533,23,0,3,1,1.4,0.4,N/A,7.4,40,197,23,187,12,N/A,N/A,N/A,N/A
Goose domesticated flesh roasted,75g,75,179,746,22,0,10,3.4,3.3,1.2,72,2.2,57,291,19,232,9,0.1,0.37,9,N/A
Goose wild ( Canada goose) flesh roasted,75g,75,150,627,23,0,6,0.7,1.9,1.1,72,7.4,57,291,19,232,9,0.1,0.37,9,N/A
Ptarmigan flesh cooked,75g,75,116,483,23,0,2,N/A,N/A,N/A,N/A,6.5,37,247,27,190,N/A,N/A,N/A,N/A,N/A
Spruce grouse flesh cooked,75g,75,99,414,20,0,2,N/A,N/A,N/A,N/A,3.3,38,204,25,152,N/A,N/A,N/A,N/A,N/A
Turkey dark meat and skin roasted,75g,75,162,677,17,0,9,2,2.6,1.4,82,1.7,60,207,17,148,0,0.5,0.28,7,N/A
Turkey dark meat roasted,75g,75,139,581,19,0,6,1.6,2,1,82,1.7,62,220,17,154,0,0.2,0.29,8,N/A
Turkey ground cooked,75g,75,176,737,21,0,10,2.5,3.7,2.4,77,1.4,80,203,18,147,0,0.8,0.25,5,0.3
Turkey light meat and skin roasted,75g,75,143,599,21,0,4,0.9,1.2,0.6,58,1.1,50,215,20,157,0,0.2,0.27,5,N/A
Turkey light meat roasted,75g,75,116,483,21,0,2,0.7,0.9,0.5,55,1,51,231,21,165,0,0.2,0.29,5,N/A
#Game Meats and Other Meats
Bear simmered,75g,75,194,812,24,0,10,2.7,4.2,1.8,74,8,53,197,17,128,14,N/A,1.85,5,0.4
Beaver roasted,75g,75,95,398,20,0,1,1.6,1.4,1,88,3.6,68,255,17,135,N/A,N/A,6.23,8,0.3
Bison roasted,75g,75,107,449,21,0,2,0.7,0.7,0.2,62,2.6,43,271,20,157,0,N/A,2.15,6,0.3
Caribou (reindeer) roasted,75g,75,122,512,24,0,2,1.9,1.4,0.9,82,4.2,35,268,23,168,4,0.2,4.98,4,0.3
Deer (venison) roasted,75g,75,119,496,23,0,2,0.9,0.7,0.5,84,3.4,41,251,18,170,0,N/A,N/A,N/A,N/A
Emu inside drum broiled,75g,75,117,489,24,0,2,0.5,0.6,0.3,68,5.5,89,234,25,230,2,N/A,1.8,8,0.2
Goat roasted,75g,75,107,449,20,0,2,0.7,1,0.2,56,2.8,65,304,0,151,0,N/A,0.89,4,0.3
Horsemeat roasted,75g,75,131,549,21,0,5,1.4,1.6,0.6,51,3.8,41,284,19,185,0,N/A,2.37,N/A,N/A
Moose roasted,75g,75,121,505,26,0,1,0.2,0.2,0.2,59,3.8,38,375,23,188,0,N/A,4.73,3,0.2
Narwhal skin (muktuk) raw,90g,90,119,497,20,0,4,0.6,2.7,0.3,N/A,0.3,91,332,14,146,126,N/A,N/A,N/A,N/A
Ostrich inside strip cooked,75g,75,123,515,22,0,3,1.3,1.3,0.6,73,3.6,55,275,20,190,0,N/A,4.83,12,0.2
Rabbit composite cuts roasted,75g,75,148,618,22,0,6,1.8,1.6,1.2,62,1.7,35,287,16,197,0,0.1,6.23,8,N/A
Seal meat boiled,75g,75,129,539,26,0,2,0.8,1.6,0.3,133,17.6,33,212,20,139,11,N/A,N/A,N/A,N/A
#Liver and Organ Meats
Heart beef simmered,75g,75,124,518,21,tr,4,1.1,0.8,0.7,159,4.8,44,164,16,191,0,1.3,8.1,4,0.2
Kidney beef simmered,75g,75,119,496,20,0,3,0.8,0.5,0.6,537,4.4,71,101,9,228,0,1.3,N/A,62,0.1
Liver beef pan-fried,75g,75,131,549,20,4,4,1.1,0.5,0.4,286,4.6,58,263,17,364,5808,0.5,N/A,195,0.4
Liver chicken pan-fried,75g,75,129,539,19,1,5,1.5,1,1,423,9.7,69,236,20,332,3972,N/A,N/A,420,0.6
Liver veal pan-fried,75g,75,145,605,21,3,5,1.6,0.9,0.8,364,4.5,64,265,17,362,N/A,0.2,N/A,263,0.5
Thymus veal braised,75g,75,94,392,17,0,2,0.7,0.7,0.2,263,0.9,44,326,18,470,0,N/A,2.14,15,0.1
Tongue beef canned or pickled,75g,75,200,838,14,tr,15,7.5,6.8,0,71,1.6,55,148,11,137,0,N/A,N/A,4,0.3
#Processed Lunch Meat Products
Back bacon pork grilled,2 slices,47,87,364,11,1,4,1.3,1.9,0.4,27,0.4,727,183,10,139,0,0.1,0.37,2,0.2
Bacon pork broiled pan-fried or roasted,3 slices,24,130,543,9,tr,10,3.3,4.4,1.1,26,0.3,554,136,8,128,3,0.4,0.3,tr,tr
Bacon pork broiled pan-fried or roasted reduced sodium,3 slices,24,130,543,9,tr,10,3.3,4.4,1.1,26,0.3,247,136,8,128,3,0.1,0.3,tr,0.1
Bologna (baloney) beef and pork,2 slices,56,153,640,7,3,13,4.7,5.9,1.1,31,0.8,549,132,6,51,14,0.6,0.74,3,0.2
Bologna (baloney) beef and pork light,2 slices,56,129,539,6,1,11,4.1,5.1,0.9,22,0.4,620,87,7,101,0,0.4,0.73,3,0.1
Bologna (baloney) chicken,2 slices,56,127,531,7,4,9,3,2.8,2.5,55,0.9,492,111,8,73,0,0.3,0.15,4,N/A
Chicken canned flaked,60 mL,52,89,372,9,tr,5,1.5,2.1,1.2,32,0.8,374,135,6,58,18,0.2,0.15,2,N/A
Corned beef brisket cooked,2 slices,56,101,422,11,1,6,2,2.9,0.2,55,1,653,112,7,70,0,0.2,0.91,3,0.1
Cottage roll pork lean and fat roasted,2 slices,56,69,291,9,1,3,1,1.3,0.3,38,0.5,642,152,7,87,0,0.1,0.59,2,0.2
Creton,30 mL,34,193,808,5,tr,19,8.3,7.7,1.6,36,0.3,129,96,6,56,1,0.3,0.19,1,0.1
Deli meat beef thin sliced,4 slices,56,83,349,11,tr,4,1.6,1.7,0.2,39,1.2,791,240,11,94,0,0,1.44,6,0.1
Deli meat chicken breast roll,2 slices,56,75,314,8,1,4,1.4,1.6,0.8,22,0.2,494,181,10,68,0,0.3,0.13,2,tr
Deli meat chicken breast low fat,2 slices,56,48,199,10,1,tr,0.1,0.1,tr,25,0.7,696,177,20,143,0,0,N/A,N/A,tr
Deli meat ham extra lean (5% fat),2 slices,56,62,258,10,1,2,0.5,0.7,0.2,27,0.4,619,196,10,122,0,0.1,0.42,2,0.2
Deli meat ham regular (11% fat),2 slices,56,91,382,9,2,5,1.6,2.4,0.4,32,0.6,730,161,12,86,0,0.1,0.24,4,tr
Deli meat mock chicken loaved,2 slices,56,147,616,7,2,12,7.4,N/A,1.7,33,N/A,536,129,N/A,N/A,0,0.4,N/A,N/A,0.1
Deli meat turkey breast,2 slices,56,63,262,8,4,2,0.1,0.3,0.2,31,1.2,672,195,11,88,0,0,0.12,2,0.1
Ham extra lean canned,2 slices,56,62,260,9,tr,2,0.8,1.2,0.2,21,0.5,638,151,10,125,0,0.1,0.46,3,0.1
Ham lean canned,2 slices,56,81,337,10,0,4,1.4,2,0.4,21,0.5,715,187,9,116,0,0.2,0.45,3,0.1
Ham flaked canned,60 mL,35,48,199,6,tr,3,0.9,1.3,0.3,16,0.3,367,87,5,49,0,0.1,0.24,tr,0.1
Ham lean and regular roasted,75g,75,124,518,16,tr,6,2,2.8,0.8,43,1.1,1039,272,14,186,0,0.2,0.51,2,0.2
Ham lean roasted,75g,75,118,493,19,1,4,1.4,1.9,0.5,41,0.7,995,237,17,170,0,0.2,0.53,3,0.2
Kielbasa (Kolbassa) pork and beef,1 piece,56,124,517,9,2,9,3.1,4.1,1,38,0.8,520,155,9,83,0,0,0.9,3,0.1
Liver sausage (liverwurst) pork,30 mL,27,93,388,4,1,8,3,3.8,0.7,43,1.7,191,41,3,62,2248,0.2,3.64,8,0.1
Pastrami beef,2 slices,56,74,309,10,1,3,1.3,1.8,0.1,52,1.1,694,121,10,84,0,0.2,0.99,4,N/A
Pate liver canned,30 mL,26,84,352,4,tr,7,2.5,3.3,0.8,67,1.4,184,36,3,53,261,0.2,0.84,16,N/A
Pepperoni pork beef,10 slices,55,252,1053,11,2,22,8.7,10.3,1.4,64,0.8,966,170,10,95,0,0,0.85,3,tr
Salami beef and pork,2 slices,46,118,495,6,2,9,3.7,4.2,0.9,30,1.2,490,105,7,53,0,0.2,1.68,1,0.1
Salami pork and beef dry or hard,5 slices,50,185,774,12,1,15,5.1,7.2,1.4,40,0.8,900,194,9,71,0,0.4,0.95,1,0.1
Salami pork and beef reduced salt,2 slices,46,182,762,7,7,14,4.9,6.1,1.4,41,0.7,287,631,14,125,tr,0.4,0.81,4,0.1
Sausage Bratwurst pork cooked,1,75,184,769,11,2,14,5.2,6.8,1.5,45,1,418,159,11,112,0,0.8,0.71,2,0
Sausage Italian pork cooked,1,75,258,1079,14,3,20,7.2,9,2.5,43,1.1,905,228,14,128,8,0.8,0.98,4,0.2
Sausage breakfast pork and beef cooked,1,13,51,215,2,tr,5,1.7,2.2,0.5,9,0.1,105,25,2,14,0,0.1,0.06,tr,tr
Sausage breakfast pork cooked,1,13,35,145,2,tr,3,0.9,1.2,0.3,11,0.2,102,28,2,24,2,0.1,0.22,tr,0.1
Sausage turkey cooked,1,75,147,588,18,0,8,1.7,2.2,2,69,1.1,499,224,16,152,9,0.1,0.92,1,tr
Summer sausage beef,2 slices,56,188,785,9,tr,17,6.7,7.3,0.7,42,1.4,696,152,8,62,0,0.5,3.08,1,N/A
Turkey canned flaked,60 mL,34,50,207,6,tr,3,0.8,0.9,0.7,23,0.6,229,92,7,55,0,0.2,0.1,2,N/A
Vienna sausage (cocktail) beef and pork canned,3,48,110,462,5,1,9,3.4,4.6,0.6,42,0.4,465,48,3,24,0,0.4,0.49,2,0.1
Wiener (frankfurter) beef,1,38,104,436,5,2,8,3.3,4,0.5,23,0.6,343,54,5,60,0,0.3,0.65,2,0.1
Wiener (frankfurter) beef and pork,1,38,107,449,5,2,9,3.4,4.3,0.9,19,0.4,374,69,4,32,0,0.3,0.49,2,0.1
Wiener (frankfurter) beef and pork light,1,38,58,242,4,2,4,1.4,1.8,0.4,17,0.5,471,56,4,53,0,0.1,0.49,2,tr
Wiener (frankfurter) chicken,1,38,93,390,4,2,7,2.1,3.2,1.5,38,0.8,514,32,4,40,14,0.2,0.09,2,0.1
#Meatless Products
Meatless breaded chicken nuggets,2,72,168,705,15,6,0,3.1,9,0.8,2.3,3.3,30,2.8,288,216,9,176,40,3.68,1.4
Meatless ground beef,75 g,75,148,618,16,6,1,3.5,7,1.1,1.6,3.5,22,1.6,413,135,14,258,59,1.8,1.3
Soy patty,1,70,136,568,15,5,1,3.2,6,0.8,1.2,2.5,20,1.5,385,126,13,241,55,1.68,1.2
Tofu regular firm and extra firm,150 g,150,189,791,21,3,1,0,11,1.3,1.8,2.7,234,2.4,26,222,56,182,29,0,tr
Tofu silken soft,150 g,150,83,345,7,4,2,0.2,4,0.5,0.8,2.3,47,1.2,8,270,44,93,N/A,0,tr
Vegetable patty,1,90,138,576,18,7,N/A,5.7,4,1,2.1,0.3,102,3.9,411,432,70,225,22,0,N/A
Vegetarian luncheon meat,4 slices,56,106,442,10,2,1,0,6,0.7,1.2,2.5,23,1,398,112,13,248,56,2.24,1.7
Wiener meatless,1,46,107,448,9,4,0,1.8,6,0.9,1.8,3.6,15,0.6,217,45,8,158,36,1.08,0.9
#Beans Peas and Lentils Hummus
Beans baked homemade,175 mL,187,283,1181,10,40,N/A,10.3,10,3.6,4,1.4,114,3.7,790,670,80,204,90,0,N/A
Beans baked plain or vegetarian canned,175 mL,188,177,738,9,40,17,7.7,1,0.2,0.2,0.2,64,2.2,633,408,49,135,23,0,0.3
Beans baked with pork canned,175 mL,187,198,829,10,37,N/A,10.4,3,1.1,1.3,0.4,99,3.2,775,578,64,202,67,0,N/A
Beans black canned not drained,175 mL,178,162,676,11,29,N/A,12.2,1,0.1,tr,0.2,62,3.4,682,547,62,192,108,0,1.3
Beans kidney dark red canned not drained,175 mL,189,161,672,10,30,tr,12.1,1,0.1,0.1,0.4,45,2.4,646,487,53,178,97,0,1.1
Beans navy canned not drained,175 mL,194,219,917,15,40,1,9.9,1,0.2,0.1,0.4,91,3.6,868,558,91,260,120,0,1.5
Beans pinto canned not drained,175 mL,178,153,639,9,27,tr,8.2,1,0.3,0.3,0.5,76,2.6,522,431,48,163,107,0,1.1
Beans refried canned,175 mL,186,175,733,10,29,tr,9.9,2,0.9,1,0.3,65,3.1,557,498,62,160,21,0,N/A
Beans white canned not drained,175 mL,194,227,948,14,43,N/A,9.3,1,0.1,tr,0.2,141,5.8,315,880,99,176,126,0,1.6
Black-eyed peas canned not drained,175 mL,178,137,572,8,24,N/A,5.9,1,0.3,0.1,0.4,36,1.7,531,305,50,124,91,0,0.5
Chickpeas (garbanzo beans) canned not drained,175 mL,178,211,884,9,40,N/A,7.8,2,0.2,0.5,0.9,57,2.4,531,305,51,160,119,0,0.3
Falafel homemade,1 ball,17,57,237,2,5,N/A,1.3,3,0.4,1.7,0.7,9,0.6,50,99,14,33,18,0,N/A
Hummus commercial,60 mL,57,94,394,4,8,N/A,3.4,5,0.8,2.3,2.1,22,1.4,215,129,40,100,47,0,N/A
